Start_time,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18,t19,t20,t21,t22,t23,t24,t25,t26,t27,t28,t29,End_time
04:50:27,04:50:28,04:50:29,04:50:30,04:50:31,04:50:32,04:50:33,04:50:34,04:50:35,04:50:36,04:50:37,04:50:38,04:50:39,04:50:40,04:50:41,04:50:42,04:50:43,04:50:44,04:50:45,04:50:46,04:50:47,04:50:48,04:50:49,04:50:50,04:50:51,04:50:52,04:50:53,04:50:54,04:50:55,04:50:56
04:50:31,04:50:32,04:50:33,04:50:34,04:50:35,04:50:36,04:50:37,04:50:38,04:50:39,04:50:40,04:50:41,04:50:42,04:50:43,04:50:44,04:50:45,04:50:46,04:50:47,04:50:48,04:50:49,04:50:50,04:50:51,04:50:52,04:50:53,04:50:54,04:50:55,04:50:56,04:50:57,04:50:58,04:50:59,04:51:00
00:46:40,00:46:41,00:46:42,00:46:43,00:46:44,00:46:45,00:46:46,00:46:47,00:46:48,00:46:49,00:46:50,00:46:51,00:46:52,00:46:53,00:46:54,00:46:55,00:46:56,00:46:57,00:46:58,00:46:59,00:47:00,00:47:01,00:47:02,00:47:03,00:47:04,00:47:05,00:47:06,00:47:07,00:47:08,00:47:09
00:47:32,00:47:33,00:47:34,00:47:35,00:47:36,00:47:37,00:47:38,00:47:39,00:47:40,00:47:41,00:47:42,00:47:43,00:47:44,00:47:45,00:47:46,00:47:47,00:47:48,00:47:49,00:47:50,00:47:51,00:47:52,00:47:53,00:47:54,00:47:55,00:47:56,00:47:57,00:47:58,00:47:59,00:48:00,00:48:01
00:52:53,00:52:54,00:52:55,00:52:56,00:52:57,00:52:58,00:52:59,00:53:00,00:53:01,00:53:02,00:53:03,00:53:04,00:53:05,00:53:06,00:53:07,00:53:08,00:53:09,00:53:10,00:53:11,00:53:12,00:53:13,00:53:14,00:53:15,00:53:16,00:53:17,00:53:18,00:53:19,00:53:20,00:53:21,00:53:22
00:52:54,00:52:55,00:52:56,00:52:57,00:52:58,00:52:59,00:53:00,00:53:01,00:53:02,00:53:03,00:53:04,00:53:05,00:53:06,00:53:07,00:53:08,00:53:09,00:53:10,00:53:11,00:53:12,00:53:13,00:53:14,00:53:15,00:53:16,00:53:17,00:53:18,00:53:19,00:53:20,00:53:21,00:53:22,00:53:23
01:56:38,01:56:39,01:56:40,01:56:41,01:56:42,01:56:43,01:56:44,01:56:45,01:56:46,01:56:47,01:56:48,01:56:49,01:56:50,01:56:51,01:56:52,01:56:53,01:56:54,01:56:55,01:56:56,01:56:57,01:56:58,01:56:59,01:57:00,01:57:01,01:57:02,01:57:03,01:57:04,01:57:05,01:57:06,01:57:07
02:16:08,02:16:09,02:16:10,02:16:11,02:16:12,02:16:13,02:16:14,02:16:15,02:16:16,02:16:17,02:16:18,02:16:19,02:16:20,02:16:21,02:16:22,02:16:23,02:16:24,02:16:25,02:16:26,02:16:27,02:16:28,02:16:29,02:16:30,02:16:31,02:16:32,02:16:33,02:16:34,02:16:35,02:16:36,02:16:37
02:17:36,02:17:37,02:17:38,02:17:39,02:17:40,02:17:41,02:17:42,02:17:43,02:17:44,02:17:45,02:17:46,02:17:47,02:17:48,02:17:49,02:17:50,02:17:51,02:17:52,02:17:53,02:17:54,02:17:55,02:17:56,02:17:57,02:17:58,02:17:59,02:18:00,02:18:01,02:18:02,02:18:03,02:18:04,02:18:05
03:37:26,03:37:27,03:37:28,03:37:29,03:37:30,03:37:31,03:37:32,03:37:33,03:37:34,03:37:35,03:37:36,03:37:37,03:37:38,03:37:39,03:37:40,03:37:41,03:37:42,03:37:43,03:37:44,03:37:45,03:37:46,03:37:47,03:37:48,03:37:49,03:37:50,03:37:51,03:37:52,03:37:53,03:37:54,03:37:55
03:37:27,03:37:28,03:37:29,03:37:30,03:37:31,03:37:32,03:37:33,03:37:34,03:37:35,03:37:36,03:37:37,03:37:38,03:37:39,03:37:40,03:37:41,03:37:42,03:37:43,03:37:44,03:37:45,03:37:46,03:37:47,03:37:48,03:37:49,03:37:50,03:37:51,03:37:52,03:37:53,03:37:54,03:37:55,03:37:56
03:38:20,03:38:21,03:38:22,03:38:23,03:38:24,03:38:25,03:38:26,03:38:27,03:38:28,03:38:29,03:38:30,03:38:31,03:38:32,03:38:33,03:38:34,03:38:35,03:38:36,03:38:37,03:38:38,03:38:39,03:38:40,03:38:41,03:38:42,03:38:43,03:38:44,03:38:45,03:38:46,03:38:47,03:38:48,03:38:49
04:12:01,04:12:02,04:12:03,04:12:04,04:12:05,04:12:06,04:12:07,04:12:08,04:12:09,04:12:10,04:12:11,04:12:12,04:12:13,04:12:14,04:12:15,04:12:16,04:12:17,04:12:18,04:12:19,04:12:20,04:12:21,04:12:22,04:12:23,04:12:24,04:12:25,04:12:26,04:12:27,04:12:28,04:12:29,04:12:30
04:12:03,04:12:04,04:12:05,04:12:06,04:12:07,04:12:08,04:12:09,04:12:10,04:12:11,04:12:12,04:12:13,04:12:14,04:12:15,04:12:16,04:12:17,04:12:18,04:12:19,04:12:20,04:12:21,04:12:22,04:12:23,04:12:24,04:12:25,04:12:26,04:12:27,04:12:28,04:12:29,04:12:30,04:12:31,04:12:32
04:12:04,04:12:05,04:12:06,04:12:07,04:12:08,04:12:09,04:12:10,04:12:11,04:12:12,04:12:13,04:12:14,04:12:15,04:12:16,04:12:17,04:12:18,04:12:19,04:12:20,04:12:21,04:12:22,04:12:23,04:12:24,04:12:25,04:12:26,04:12:27,04:12:28,04:12:29,04:12:30,04:12:31,04:12:32,04:12:33
04:46:59,04:47:00,04:47:01,04:47:02,04:47:03,04:47:04,04:47:05,04:47:06,04:47:07,04:47:08,04:47:09,04:47:10,04:47:11,04:47:12,04:47:13,04:47:14,04:47:15,04:47:16,04:47:17,04:47:18,04:47:19,04:47:20,04:47:21,04:47:22,04:47:23,04:47:24,04:47:25,04:47:26,04:47:27,04:47:28
04:51:45,04:51:46,04:51:47,04:51:48,04:51:49,04:51:50,04:51:51,04:51:52,04:51:53,04:51:54,04:51:55,04:51:56,04:51:57,04:51:58,04:51:59,04:52:00,04:52:01,04:52:02,04:52:03,04:52:04,04:52:05,04:52:06,04:52:07,04:52:08,04:52:09,04:52:10,04:52:11,04:52:12,04:52:13,04:52:14
04:55:31,04:55:32,04:55:33,04:55:34,04:55:35,04:55:36,04:55:37,04:55:38,04:55:39,04:55:40,04:55:41,04:55:42,04:55:43,04:55:44,04:55:45,04:55:46,04:55:47,04:55:48,04:55:49,04:55:50,04:55:51,04:55:52,04:55:53,04:55:54,04:55:55,04:55:56,04:55:57,04:55:58,04:55:59,04:56:00
04:57:24,04:57:25,04:57:26,04:57:27,04:57:28,04:57:29,04:57:30,04:57:31,04:57:32,04:57:33,04:57:34,04:57:35,04:57:36,04:57:37,04:57:38,04:57:39,04:57:40,04:57:41,04:57:42,04:57:43,04:57:44,04:57:45,04:57:46,04:57:47,04:57:48,04:57:49,04:57:50,04:57:51,04:57:52,04:57:53
00:46:25,00:46:26,00:46:27,00:46:28,00:46:29,00:46:30,00:46:31,00:46:32,00:46:33,00:46:34,00:46:35,00:46:36,00:46:37,00:46:38,00:46:39,00:46:40,00:46:41,00:46:42,00:46:43,00:46:44,00:46:45,00:46:46,00:46:47,00:46:48,00:46:49,00:46:50,00:46:51,00:46:52,00:46:53,00:46:54
00:49:38,00:49:39,00:49:40,00:49:41,00:49:42,00:49:43,00:49:44,00:49:45,00:49:46,00:49:47,00:49:48,00:49:49,00:49:50,00:49:51,00:49:52,00:49:53,00:49:54,00:49:55,00:49:56,00:49:57,00:49:58,00:49:59,00:50:00,00:50:01,00:50:02,00:50:03,00:50:04,00:50:05,00:50:06,00:50:07
02:11:03,02:11:04,02:11:05,02:11:06,02:11:07,02:11:08,02:11:09,02:11:10,02:11:11,02:11:12,02:11:13,02:11:14,02:11:15,02:11:16,02:11:17,02:11:18,02:11:19,02:11:20,02:11:21,02:11:22,02:11:23,02:11:24,02:11:25,02:11:26,02:11:27,02:11:28,02:11:29,02:11:30,02:11:31,02:11:32
02:15:30,02:15:31,02:15:32,02:15:33,02:15:34,02:15:35,02:15:36,02:15:37,02:15:38,02:15:39,02:15:40,02:15:41,02:15:42,02:15:43,02:15:44,02:15:45,02:15:46,02:15:47,02:15:48,02:15:49,02:15:50,02:15:51,02:15:52,02:15:53,02:15:54,02:15:55,02:15:56,02:15:57,02:15:58,02:15:59
02:15:58,02:15:59,02:16:00,02:16:01,02:16:02,02:16:03,02:16:04,02:16:05,02:16:06,02:16:07,02:16:08,02:16:09,02:16:10,02:16:11,02:16:12,02:16:13,02:16:14,02:16:15,02:16:16,02:16:17,02:16:18,02:16:19,02:16:20,02:16:21,02:16:22,02:16:23,02:16:24,02:16:25,02:16:26,02:16:27
02:16:01,02:16:02,02:16:03,02:16:04,02:16:05,02:16:06,02:16:07,02:16:08,02:16:09,02:16:10,02:16:11,02:16:12,02:16:13,02:16:14,02:16:15,02:16:16,02:16:17,02:16:18,02:16:19,02:16:20,02:16:21,02:16:22,02:16:23,02:16:24,02:16:25,02:16:26,02:16:27,02:16:28,02:16:29,02:16:30
02:17:34,02:17:35,02:17:36,02:17:37,02:17:38,02:17:39,02:17:40,02:17:41,02:17:42,02:17:43,02:17:44,02:17:45,02:17:46,02:17:47,02:17:48,02:17:49,02:17:50,02:17:51,02:17:52,02:17:53,02:17:54,02:17:55,02:17:56,02:17:57,02:17:58,02:17:59,02:18:00,02:18:01,02:18:02,02:18:03
02:17:40,02:17:41,02:17:42,02:17:43,02:17:44,02:17:45,02:17:46,02:17:47,02:17:48,02:17:49,02:17:50,02:17:51,02:17:52,02:17:53,02:17:54,02:17:55,02:17:56,02:17:57,02:17:58,02:17:59,02:18:00,02:18:01,02:18:02,02:18:03,02:18:04,02:18:05,02:18:06,02:18:07,02:18:08,02:18:09
02:37:07,02:37:08,02:37:09,02:37:10,02:37:11,02:37:12,02:37:13,02:37:14,02:37:15,02:37:16,02:37:17,02:37:18,02:37:19,02:37:20,02:37:21,02:37:22,02:37:23,02:37:24,02:37:25,02:37:26,02:37:27,02:37:28,02:37:29,02:37:30,02:37:31,02:37:32,02:37:33,02:37:34,02:37:35,02:37:36
03:36:59,03:37:00,03:37:01,03:37:02,03:37:03,03:37:04,03:37:05,03:37:06,03:37:07,03:37:08,03:37:09,03:37:10,03:37:11,03:37:12,03:37:13,03:37:14,03:37:15,03:37:16,03:37:17,03:37:18,03:37:19,03:37:20,03:37:21,03:37:22,03:37:23,03:37:24,03:37:25,03:37:26,03:37:27,03:37:28
03:37:47,03:37:48,03:37:49,03:37:50,03:37:51,03:37:52,03:37:53,03:37:54,03:37:55,03:37:56,03:37:57,03:37:58,03:37:59,03:38:00,03:38:01,03:38:02,03:38:03,03:38:04,03:38:05,03:38:06,03:38:07,03:38:08,03:38:09,03:38:10,03:38:11,03:38:12,03:38:13,03:38:14,03:38:15,03:38:16
03:37:48,03:37:49,03:37:50,03:37:51,03:37:52,03:37:53,03:37:54,03:37:55,03:37:56,03:37:57,03:37:58,03:37:59,03:38:00,03:38:01,03:38:02,03:38:03,03:38:04,03:38:05,03:38:06,03:38:07,03:38:08,03:38:09,03:38:10,03:38:11,03:38:12,03:38:13,03:38:14,03:38:15,03:38:16,03:38:17
03:38:05,03:38:06,03:38:07,03:38:08,03:38:09,03:38:10,03:38:11,03:38:12,03:38:13,03:38:14,03:38:15,03:38:16,03:38:17,03:38:18,03:38:19,03:38:20,03:38:21,03:38:22,03:38:23,03:38:24,03:38:25,03:38:26,03:38:27,03:38:28,03:38:29,03:38:30,03:38:31,03:38:32,03:38:33,03:38:34
04:11:57,04:11:58,04:11:59,04:12:00,04:12:01,04:12:02,04:12:03,04:12:04,04:12:05,04:12:06,04:12:07,04:12:08,04:12:09,04:12:10,04:12:11,04:12:12,04:12:13,04:12:14,04:12:15,04:12:16,04:12:17,04:12:18,04:12:19,04:12:20,04:12:21,04:12:22,04:12:23,04:12:24,04:12:25,04:12:26
04:47:30,04:47:31,04:47:32,04:47:33,04:47:34,04:47:35,04:47:36,04:47:37,04:47:38,04:47:39,04:47:40,04:47:41,04:47:42,04:47:43,04:47:44,04:47:45,04:47:46,04:47:47,04:47:48,04:47:49,04:47:50,04:47:51,04:47:52,04:47:53,04:47:54,04:47:55,04:47:56,04:47:57,04:47:58,04:47:59
04:50:25,04:50:26,04:50:27,04:50:28,04:50:29,04:50:30,04:50:31,04:50:32,04:50:33,04:50:34,04:50:35,04:50:36,04:50:37,04:50:38,04:50:39,04:50:40,04:50:41,04:50:42,04:50:43,04:50:44,04:50:45,04:50:46,04:50:47,04:50:48,04:50:49,04:50:50,04:50:51,04:50:52,04:50:53,04:50:54
04:50:30,04:50:31,04:50:32,04:50:33,04:50:34,04:50:35,04:50:36,04:50:37,04:50:38,04:50:39,04:50:40,04:50:41,04:50:42,04:50:43,04:50:44,04:50:45,04:50:46,04:50:47,04:50:48,04:50:49,04:50:50,04:50:51,04:50:52,04:50:53,04:50:54,04:50:55,04:50:56,04:50:57,04:50:58,04:50:59
04:56:28,04:56:29,04:56:30,04:56:31,04:56:32,04:56:33,04:56:34,04:56:35,04:56:36,04:56:37,04:56:38,04:56:39,04:56:40,04:56:41,04:56:42,04:56:43,04:56:44,04:56:45,04:56:46,04:56:47,04:56:48,04:56:49,04:56:50,04:56:51,04:56:52,04:56:53,04:56:54,04:56:55,04:56:56,04:56:57
04:56:41,04:56:42,04:56:43,04:56:44,04:56:45,04:56:46,04:56:47,04:56:48,04:56:49,04:56:50,04:56:51,04:56:52,04:56:53,04:56:54,04:56:55,04:56:56,04:56:57,04:56:58,04:56:59,04:57:00,04:57:01,04:57:02,04:57:03,04:57:04,04:57:05,04:57:06,04:57:07,04:57:08,04:57:09,04:57:10
04:56:51,04:56:52,04:56:53,04:56:54,04:56:55,04:56:56,04:56:57,04:56:58,04:56:59,04:57:00,04:57:01,04:57:02,04:57:03,04:57:04,04:57:05,04:57:06,04:57:07,04:57:08,04:57:09,04:57:10,04:57:11,04:57:12,04:57:13,04:57:14,04:57:15,04:57:16,04:57:17,04:57:18,04:57:19,04:57:20
04:56:58,04:56:59,04:57:00,04:57:01,04:57:02,04:57:03,04:57:04,04:57:05,04:57:06,04:57:07,04:57:08,04:57:09,04:57:10,04:57:11,04:57:12,04:57:13,04:57:14,04:57:15,04:57:16,04:57:17,04:57:18,04:57:19,04:57:20,04:57:21,04:57:22,04:57:23,04:57:24,04:57:25,04:57:26,04:57:27
